# HELP blips_total Total number of blips.
# TYPE blips_total gauge
blips_total = 4.2
# HELP blops_by_blarg_total Total number of blops for each blarg.
# TYPE blops_by_blarg_total gauge
blops_by_blarg_total{blarg=blub} = 8.6
blops_by_blarg_total{blarg=grunt} = 1.3
# HELP blops_by_blarg_blurg_total Total number of blops for each (blarg,blurg).
# TYPE blops_by_blarg_blurg_total gauge
blops_by_blarg_blurg_total{blarg=blub,blurg=knux} = 8.2
blops_by_blarg_blurg_total{blarg=grunt,blurg=knux} = 1.5
blops_by_blarg_blurg_total{blarg=blub,blurg=knix} = 8.6
blops_by_blarg_blurg_total{blarg=grunt,blurg=knix} = 1.3
# HELP bloops_total Total number of bloops.
# TYPE bloops_total counter
bloops_total = 5.2
# HELP blups Distribution of blups.
# TYPE blups histogram
blups{le=0.005} = 0
blups{le=0.01} = 0
blups{le=0.025} = 0
blups{le=0.05} = 0
blups{le=0.075} = 0
blups{le=0.1} = 0
blups{le=0.25} = 0
blups{le=0.5} = 1
blups{le=0.75} = 1
blups{le=1} = 1
blups{le=2.5} = 1
blups{le=5} = 2
blups{le=7.5} = 2
blups{le=10} = 3
blups{le=+Inf} = 4
# HELP blups_by_blip_blop Distribution of blups by blip and blop.
# TYPE blups_by_blip_blop histogram
blups_by_blip_blop{le=0,blip=a,blop=b} = 0
blups_by_blip_blop{le=1,blip=a,blop=b} = 1
blups_by_blip_blop{le=10,blip=a,blop=b} = 2
blups_by_blip_blop{le=100,blip=a,blop=b} = 2
blups_by_blip_blop{le=1000,blip=a,blop=b} = 2
blups_by_blip_blop{le=10000,blip=a,blop=b} = 2
blups_by_blip_blop{le=+Inf,blip=a,blop=b} = 2
blups_by_blip_blop{le=0,blip=a,blop=c} = 0
blups_by_blip_blop{le=1,blip=a,blop=c} = 0
blups_by_blip_blop{le=10,blip=a,blop=c} = 1
blups_by_blip_blop{le=100,blip=a,blop=c} = 1
blups_by_blip_blop{le=1000,blip=a,blop=c} = 1
blups_by_blip_blop{le=10000,blip=a,blop=c} = 1
blups_by_blip_blop{le=+Inf,blip=a,blop=c} = 1
blups_by_blip_blop{le=0,blip=e,blop=d} = 0
blups_by_blip_blop{le=1,blip=e,blop=d} = 0
blups_by_blip_blop{le=10,blip=e,blop=d} = 0
blups_by_blip_blop{le=100,blip=e,blop=d} = 0
blups_by_blip_blop{le=1000,blip=e,blop=d} = 0
blups_by_blip_blop{le=10000,blip=e,blop=d} = 0
blups_by_blip_blop{le=+Inf,blip=e,blop=d} = 1
